descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,origen,es_aumentada,texto_normalizado
Comida para perro,Comida para perro,Alimentación,Alimento para mascotas,test,18fed308d19c,transactions,False,comida para perro
cargo comida para perro,Comida para perro,Alimentación,Alimento para mascotas,test,18fed308d19c,transactions,True,cargo comida para perro
Comida para llevar,Comida para llevar,Alimentación,Comida rápida,test,3cd314b7d0e6,transactions,False,comida para llevar
cargo comida para llevar,Comida para llevar,Alimentación,Comida rápida,test,3cd314b7d0e6,transactions,True,cargo comida para llevar
Tienda de abarrotes,Tienda de abarrotes,Alimentación,Tiendas,test,bdcd4c77690c,transactions,False,tienda de abarrotes
cargo tienda de abarrotes,Tienda de abarrotes,Alimentación,Tiendas,test,bdcd4c77690c,transactions,True,cargo tienda de abarrotes
Compra de pantalón,Compra de pantalón,Compras,Ropa,test,44309f9a0f40,transactions,False,compra de pantalon
comp de pantalón,Compra de pantalón,Compras,Ropa,test,44309f9a0f40,transactions,True,comp de pantalon
Accesorios,Accesorios,Compras,Accesorios,test,79df5bbe4543,transactions,False,accesorios
cargo accesorios,Accesorios,Compras,Accesorios,test,79df5bbe4543,transactions,True,cargo accesorios
ropa en tienda,ropa en tienda,Compras,Ropa,test,ef15f6501962,catalogo_controlado,False,ropa en tienda
cargo ropa en tienda,ropa en tienda,Compras,Ropa,test,ef15f6501962,catalogo_controlado,True,cargo ropa en tienda
Abono a préstamo,Abono a préstamo,Deudas,Pago de préstamo,test,84fba572b4db,transactions,False,abono a prestamo
abono a prest,Abono a préstamo,Deudas,Pago de préstamo,test,84fba572b4db,transactions,True,abono a prest
pago de préstamo personal,pago de préstamo personal,Deudas,Pago de préstamo,test,a7101f16851b,catalogo_controlado,False,pago de prestamo personal
pg de prest personal,pago de préstamo personal,Deudas,Pago de préstamo,test,a7101f16851b,catalogo_controlado,True,pg de prest personal
nuevo crédito,nuevo crédito,Deudas,Nuevo crédito,test,ab555f6c9506,catalogo_controlado,False,nuevo credito
