descripcion_original,descripcion_normalizada,categoria,subcategoria,origen,grupo_descripcion,split
abarrotes de la esquina,abarrotes de la esquina,Alimentación,Tiendas,catalogo_controlado,474729656867,validation
Alimento para mascotas,alimento para mascotas,Alimentación,Alimento para mascotas,transactions,7ef08f3229a2,train
Almuerzo fuera de casa,almuerzo fuera de casa,Alimentación,Restaurante,transactions,8ea97f3926e1,train
cena en restaurante,cena en restaurante,Alimentación,Restaurante,catalogo_controlado,e7d5521a26eb,validation
comida corrida,comida corrida,Alimentación,Restaurante,catalogo_controlado,b1f6bbfcc6ce,train
Comida en restaurante,comida en restaurante,Alimentación,Restaurante,transactions,6491a53df90d,train
Comida para gato,comida para gato,Alimentación,Alimento para mascotas,transactions,cac83f657d9d,train
Comida para llevar,comida para llevar,Alimentación,Comida rápida,transactions,3cd314b7d0e6,test
Comida para perro,comida para perro,Alimentación,Alimento para mascotas,transactions,18fed308d19c,test
Comida rápida,comida rapida,Alimentación,Comida rápida,transactions,9f29ca7ff6a1,train
Compra de alimentos,compra de alimentos,Alimentación,Supermercado,transactions,548820314234,train
Compra de víveres,compra de viveres,Alimentación,Supermercado,transactions,36ba5b0bb443,train
Compra en tienda,compra en tienda,Alimentación,Tiendas,transactions,e3b123ef33f5,train
croquetas mascota,croquetas mascota,Alimentación,Alimento para mascotas,catalogo_controlado,3c36031eb3e9,train
Despensa,despensa,Alimentación,Supermercado,transactions,1b32fa867fbb,train
despensa quincenal,despensa quincenal,Alimentación,Supermercado,catalogo_controlado,cc529a2dbff3,train
Hamburguesa,hamburguesa,Alimentación,Comida rápida,transactions,2cad5a2e0142,validation
Pizza,pizza,Alimentación,Comida rápida,transactions,fb6d4de9e81e,train
Restaurante,restaurante,Alimentación,Restaurante,transactions,901ba6df6f62,train
super semanal,super semanal,Alimentación,Supermercado,catalogo_controlado,9228ae3fb24d,train
Supermercado,supermercado,Alimentación,Supermercado,transactions,89da14787efb,train
Tienda de abarrotes,tienda de abarrotes,Alimentación,Tiendas,transactions,bdcd4c77690c,test
Accesorios,accesorios,Compras,Accesorios,transactions,79df5bbe4543,test
accesorios para mascota,accesorios para mascota,Compras,Mascotas,catalogo_controlado,54fc25fb82dd,validation
Accesorios para mascotas,accesorios para mascotas,Compras,Mascotas,transactions,51c7731bd03f,train
accesorios personales,accesorios personales,Compras,Accesorios,catalogo_controlado,432f9136abdb,train
audífonos nuevos,audifonos nuevos,Compras,Electrónica,catalogo_controlado,7626e38f8e62,validation
Compra de audífonos,compra de audifonos,Compras,Electrónica,transactions,c570e97c4229,train
Compra de camisa,compra de camisa,Compras,Ropa,transactions,87d0bcb8d5f8,train
Compra de Laptop,compra de laptop,Compras,Electrónica,transactions,22f170405e7f,train
Compra de pantalón,compra de pantalon,Compras,Ropa,transactions,44309f9a0f40,test
Compra de regalo,compra de regalo,Compras,Regalos,transactions,d70c762a5caf,train
Compra de short,compra de short,Compras,Ropa,transactions,6bbe0d06a724,validation
Compra de sueter,compra de sueter,Compras,Ropa,transactions,5a777f461f16,train
Compra de Tablet,compra de tablet,Compras,Electrónica,transactions,731ac2d6a4b8,train
Compra de teléfono,compra de telefono,Compras,Electrónica,transactions,df24d7e9f583,train
Compra de tenis,compra de tenis,Compras,Calzado,transactions,8b8ae4da9032,train
Compra de zapatos,compra de zapatos,Compras,Calzado,transactions,16c04c349e3f,train
Electrónica,electronica,Compras,Electrónica,transactions,315785b6f441,train
Regalo,regalo,Compras,Regalos,transactions,5f7e8aba11fe,train
regalo de cumpleaños,regalo de cumpleanos,Compras,Regalos,catalogo_controlado,3f90d5167618,train
ropa en tienda,ropa en tienda,Compras,Ropa,catalogo_controlado,ef15f6501962,test
zapatos nuevos,zapatos nuevos,Compras,Calzado,catalogo_controlado,d04504e308c4,train
abono a crédito coche,abono a credito coche,Deudas,Pago de préstamo,catalogo_controlado,f5a4934a3c20,train
Abono a préstamo,abono a prestamo,Deudas,Pago de préstamo,transactions,84fba572b4db,test
Abono a tarjeta,abono a tarjeta,Deudas,Pago de tarjeta,transactions,5bb69475f32a,train
