user_id,edad,sexo,ocupacion,situacion_vida,ciudad,ingreso_base,ingreso_variable,ingreso_total_estimado,meta_ahorro,frecuencia_ahorro,ratio_deuda_inicial,saldo_deuda_inicial,arquetipo_comportamiento
USR_00001,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,Ahorrador
USR_00002,19,F,Estudiante,Vive con familia,Oaxaca,4530.47,228.95,4759.42,9.97,Baja,0.4357,2073.68,Equilibrado
USR_00003,20,M,Programador,Vive con familia,Guadalajara,50352.29,1607.84,51960.13,11.95,Alta,0.5765,29955.01,Equilibrado
USR_00004,50,M,Médico,Vive con familia,Monterrey,53137.25,6416.07,59553.32,23.24,Baja,0.1187,7068.98,Financieramente_Inestable
USR_00005,45,M,Analista de Datos,Vive solo,Guadalajara,36475.27,2569.94,39045.21,10.7,Media,0.5919,23110.86,Financieramente_Inestable
USR_00006,49,M,Programador,Vive con pareja,Puebla,45427.38,3314.67,48742.05,10.24,Media,0.436,21251.53,Gastador
USR_00007,59,F,Abogado,Vive con pareja,Ciudad Victoria,25936.9,847.63,26784.53,29.74,Baja,0.4285,11477.17,Equilibrado
USR_00008,39,O,Arquitecto,Vive con pareja,Cuernavaca,27327.04,4399.9,31726.94,6.65,Baja,0.532,16878.73,Equilibrado
USR_00009,49,F,Chef,Vive con familia,Pachuca,18857.84,789.94,19647.78,18.47,Baja,0.3715,7299.15,Financieramente_Inestable
USR_00010,31,O,Contador,Vive solo,La Paz,21171.47,192.47,21363.94,7.74,Baja,0.138,2948.22,Gastador
USR_00011,44,O,Chef,Vive con pareja,Hermosillo,40602.64,5701.22,46303.86,18.83,Alta,0.4242,19642.1,Ahorrador
USR_00012,41,M,Programador,Vive con pareja,Tepic,24462.09,2127.05,26589.14,28.85,Baja,0.1949,5182.22,Gastador
USR_00013,68,O,Médico,Vive con pareja,Mérida,28430.02,3633.07,32063.09,8.82,Alta,0.3467,11116.27,Endeudado
USR_00014,23,O,Estudiante,Vive con pareja,Zacatecas,6420.24,71.82,6492.06,29.63,Media,0.1817,1179.61,Equilibrado
USR_00015,28,O,Ingeniero,Comparte vivienda,Chihuahua,40616.77,3314.42,43931.19,18.32,Alta,0.1206,5298.1,Equilibrado
USR_00016,53,F,Programador,Vive solo,Chetumal,54897.32,4645.83,59543.15,18.48,Baja,0.4294,25567.83,Endeudado
USR_00017,50,M,Enfermero,Vive con pareja,Aguascalientes,37490.35,1692.64,39182.99,6.6,Alta,0.3736,14638.77,Equilibrado
USR_00018,26,O,Ingeniero,Comparte vivienda,Tuxtla Gutiérrez,23012.96,2083.64,25096.6,6.77,Alta,0.2032,5099.63,Equilibrado
USR_00019,78,F,Jubilado,Vive con familia,Morelia,24180.13,948.61,25128.74,9.76,Alta,0.4124,10363.09,Equilibrado
USR_00020,31,F,Arquitecto,Vive con familia,Chihuahua,15909.19,2317.06,18226.25,7.73,Alta,0.1546,2817.78,Equilibrado
USR_00021,49,O,Programador,Vive con pareja,Ciudad Victoria,29992.26,5538.16,35530.42,26.53,Baja,0.1038,3688.06,Gastador
USR_00022,19,M,Estudiante,Vive con familia,Guadalajara,9484.57,804.95,10289.52,17.14,Alta,0.5256,5408.17,Financieramente_Inestable
USR_00023,24,O,Estudiante,Vive con pareja,Cuernavaca,4856.42,380.78,5237.2,15.58,Baja,0.5975,3129.23,Gastador
USR_00024,37,F,Dentista,Vive con pareja,Tepic,19450.62,3768.4,23219.02,18.55,Baja,0.2225,5166.23,Ahorrador
USR_00025,30,M,Freelancer,Comparte vivienda,Zacatecas,13412.77,4086.83,17499.6,6.71,Alta,0.4214,7374.33,Equilibrado
USR_00026,67,M,Jubilado,Vive solo,Chetumal,27367.57,54.38,27421.95,21.43,Baja,0.3375,9254.91,Financieramente_Inestable
USR_00027,35,O,Diseñador,Vive con familia,Campeche,18109.13,711.03,18820.16,16.43,Alta,0.0551,1036.99,Gastador
USR_00028,57,O,Ingeniero,Vive con familia,San Luis Potosí,22460.4,595.65,23056.05,27.02,Alta,0.2532,5837.79,Ahorrador
USR_00029,55,O,Analista de Datos,Vive solo,Monterrey,18250.34,1491.24,19741.58,21.58,Alta,0.1955,3859.48,Financieramente_Inestable
USR_00030,42,M,Dentista,Vive con pareja,La Paz,19226.34,809.93,20036.27,22.19,Media,0.328,6571.9,Equilibrado
USR_00031,42,F,Veterinario,Vive solo,Monterrey,14557.03,971.12,15528.15,29.49,Alta,0.4577,7107.23,Gastador
USR_00032,19,M,Estudiante,Comparte vivienda,Mexicali,3526.71,311.45,3838.16,18.64,Media,0.3704,1421.65,Ahorrador
USR_00033,45,F,Analista de Datos,Vive con familia,Hermosillo,46767.41,3723.26,50490.67,27.47,Alta,0.4251,21463.58,Gastador
USR_00034,56,F,Ejecutivo,Vive con familia,Aguascalientes,147383.7,22092.16,169475.86,10.92,Alta,0.5869,99465.38,Endeudado
USR_00035,46,M,Abogado,Vive con familia,Guadalajara,26735.8,2201.5,28937.3,23.38,Alta,0.1967,5691.97,Endeudado
USR_00036,55,F,Arquitecto,Vive con pareja,Chilpancingo,18336.51,2994.67,21331.18,12.63,Alta,0.1726,3681.76,Gastador
USR_00037,24,F,Programador,Vive con familia,Chihuahua,58675.56,3275.56,61951.12,14.99,Baja,0.2321,14378.85,Ahorrador
USR_00038,68,F,Jubilado,Vive con pareja,Xalapa,11147.72,332.52,11480.24,24.66,Media,0.3834,4401.52,Gastador
USR_00039,66,O,Jubilado,Vive solo,Chetumal,17641.68,625.21,18266.89,28.14,Baja,0.4278,7814.58,Financieramente_Inestable
USR_00040,46,F,Profesor,Vive con familia,Tepic,21919.84,2079.92,23999.76,20.58,Baja,0.5164,12393.48,Endeudado
USR_00041,48,M,Analista de Datos,Vive con pareja,Puebla,28437.85,1982.71,30420.56,9.8,Baja,0.5672,17254.54,Gastador
USR_00042,69,F,Jubilado,Vive con pareja,Morelia,22182.26,924.7,23106.96,10.25,Baja,0.3837,8866.14,Equilibrado
USR_00043,55,O,Profesor,Vive con pareja,Chilpancingo,22883.28,2062.2,24945.48,9.24,Alta,0.2061,5141.26,Gastador
USR_00044,38,M,Ingeniero,Vive solo,Morelia,38547.85,865.94,39413.79,5.61,Alta,0.5912,23301.43,Gastador
USR_00045,65,M,Veterinario,Vive con pareja,Hermosillo,45388.91,6520.99,51909.9,14.99,Alta,0.4108,21324.59,Ahorrador
USR_00046,39,M,Veterinario,Vive con pareja,Villahermosa,22201.43,4253.64,26455.07,6.26,Alta,0.5546,14671.98,Ahorrador
USR_00047,67,O,Comerciante,Vive con pareja,Toluca,48116.97,13446.9,61563.87,23.88,Media,0.387,23825.22,Endeudado
USR_00048,58,O,Ejecutivo,Vive con pareja,Cuernavaca,139720.81,20780.83,160501.64,11.48,Alta,0.5119,82160.79,Equilibrado
USR_00049,40,F,Contador,Vive con pareja,San Luis Potosí,19917.71,1421.22,21338.93,13.4,Baja,0.0943,2012.26,Ahorrador
