user_id,periodo,anio,mes,nombre_mes,perfil_financiero,diagnostico_principal,edad,sexo,ocupacion,situacion_vida,ciudad,ingreso_base_estimado,ingreso_variable_estimado,ingreso_total_estimado,meta_ahorro,frecuencia_ahorro,ratio_deuda_inicial,saldo_deuda_inicial,ingreso_base_real,ingreso_variable_real,ingresos,gastos,gastos_recurrentes,gastos_variables,pagos_deuda,ahorro,inversiones,financiamiento,numero_transacciones,numero_gastos,ticket_promedio_gasto,gasto_alimentacion,gasto_transporte,gasto_salud,gasto_vivienda,gasto_educacion,gasto_entretenimiento,gasto_servicios,gasto_compras,gasto_otros,categoria_principal,gasto_categoria_principal,concentracion_gasto,balance_operativo,saldo_caja,tasa_gasto,tasa_ahorro,tasa_pago_deuda,tasa_financiamiento,tasa_inversion,tasa_gasto_variable,porcentaje_gasto_recurrente,cumplimiento_meta_ahorro,desviacion_ingreso_estimado,saldo_deuda_estimado,ratio_saldo_deuda_ingreso,variacion_ingreso_3m,promedio_balance_3m,meses_con_financiamiento_3m
USR_00001,2025-01,2025,1,Enero,Saludable,Endeudamiento,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48885.64,0.0,48885.64,30763.14,12863.62,17899.52,2519.61,7012.14,1120.22,0.0,25,21,1464.91,5770.35,1108.04,2666.12,14001.08,1061.55,1921.23,4234.77,0.0,0.0,vivienda,14001.08,0.4551,7470.53,7470.53,0.6293,0.1434,0.0515,0.0,0.0229,0.3662,0.4182,1.0,-0.0365,24914.88,0.5097,0.0,7470.53,0
USR_00001,2025-02,2025,2,Febrero,Saludable,Endeudamiento,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48610.89,2387.05,50997.94,29015.43,15356.99,13658.44,3395.36,0.0,3126.92,0.0,25,21,1381.69,1710.72,2283.31,3305.54,15580.84,0.0,1723.24,2797.99,1613.79,0.0,vivienda,15580.84,0.537,15460.23,15460.23,0.569,0.0,0.0666,0.0,0.0613,0.2678,0.5293,0.0,0.0051,21519.52,0.422,0.0299,11465.38,0
USR_00001,2025-03,2025,3,Marzo,Saludable,Equilibrado,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48101.21,1967.19,50068.4,32018.07,17979.53,14038.54,4162.85,9120.49,0.0,0.0,25,21,1524.67,7582.81,1690.31,1460.66,13515.95,2501.74,588.98,4677.62,0.0,0.0,vivienda,13515.95,0.4221,4766.99,4766.99,0.6395,0.1822,0.0831,0.0,0.0,0.2804,0.5615,1.0,-0.0132,17356.67,0.3467,0.0212,9232.58,0
USR_00001,2025-04,2025,4,Abril,Saludable,Ahorro insuficiente,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48668.7,2437.48,51106.18,31435.9,17333.78,14102.12,2808.57,0.0,0.0,0.0,22,19,1654.52,2107.55,5321.4,231.81,16025.2,0.0,524.44,6623.44,602.06,0.0,vivienda,16025.2,0.5098,16861.71,16861.71,0.6151,0.0,0.055,0.0,0.0,0.2759,0.5514,0.0,0.0072,14548.1,0.2847,0.0112,12362.98,0
USR_00001,2025-05,2025,5,Mayo,Saludable,Equilibrado,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,47571.51,2085.16,49656.67,32659.92,16099.02,16560.9,4713.33,6957.61,1360.05,0.0,27,22,1484.54,3101.9,2388.5,671.08,16955.28,0.0,4588.08,3266.71,1688.37,0.0,vivienda,16955.28,0.5191,3965.76,3965.76,0.6577,0.1401,0.0949,0.0,0.0274,0.3335,0.4929,1.0,-0.0213,9834.77,0.1981,0.0149,8531.49,0
USR_00001,2025-06,2025,6,Junio,En observación,Ahorro insuficiente,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,46577.73,1821.06,48398.79,32113.82,15105.68,17008.14,3911.37,0.0,0.0,0.0,24,21,1529.23,7967.85,0.0,2013.57,13798.53,2383.29,922.08,4296.57,0.0,731.93,vivienda,13798.53,0.4297,12373.6,12373.6,0.6635,0.0,0.0808,0.0,0.0,0.3514,0.4704,0.0,-0.0461,5923.4,0.1224,0.0272,11067.02,0
USR_00001,2025-07,2025,7,Julio,Saludable,Ahorro insuficiente,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,49941.32,1651.31,51592.63,30742.06,19850.84,10891.22,4495.51,0.0,0.0,0.0,22,19,1618.0,2062.24,1669.39,2912.18,15678.03,0.0,1465.04,5029.35,1925.83,0.0,vivienda,15678.03,0.51,16355.06,16355.06,0.5959,0.0,0.0871,0.0,0.0,0.2111,0.6457,0.0,0.0168,1427.89,0.0277,0.0323,10898.14,0
USR_00001,2025-08,2025,8,Agosto,Saludable,Equilibrado,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,50678.71,1450.27,52128.98,29049.2,18066.81,10982.39,1427.89,5977.2,0.0,0.0,23,19,1528.91,0.0,1993.7,3886.07,16813.49,0.0,543.53,5702.59,109.82,0.0,vivienda,16813.49,0.5788,15674.69,15674.69,0.5573,0.1147,0.0274,0.0,0.0,0.2107,0.6219,1.0,0.0274,0.0,0.0,0.0398,14801.12,0
USR_00001,2025-09,2025,9,Septiembre,Saludable,Equilibrado,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48688.0,2462.33,51150.33,34601.5,15998.92,18602.58,0.0,7081.48,0.0,0.0,24,21,1647.69,7629.04,1826.64,0.0,14381.33,3978.77,526.85,4157.89,2100.98,0.0,vivienda,14381.33,0.4156,9467.35,9467.35,0.6765,0.1384,0.0,0.0,0.0,0.3637,0.4624,1.0,0.0081,0.0,0.0,0.0095,13832.37,0
USR_00001,2025-10,2025,10,Octubre,Saludable,Equilibrado,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,51844.85,2181.25,54026.1,35651.31,18552.09,17099.22,0.0,6100.87,0.0,0.0,25,22,1620.51,6902.43,5106.33,3384.61,14779.54,378.83,471.11,3024.97,0.0,1603.49,vivienda,14779.54,0.4146,12273.92,12273.92,0.6599,0.1129,0.0,0.0,0.0,0.3165,0.5204,1.0,0.0648,0.0,0.0,0.0279,12471.99,0
USR_00001,2025-11,2025,11,Noviembre,Saludable,Ahorro insuficiente,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48349.31,1423.98,49773.29,27178.18,17124.42,10053.76,0.0,0.0,0.0,0.0,21,19,1430.43,4941.85,1111.65,460.71,14073.23,2060.09,469.79,3004.22,1056.64,0.0,vivienda,14073.23,0.5178,22595.11,22595.11,0.546,0.0,0.0,0.0,0.0,0.202,0.6301,0.0,-0.019,0.0,0.0,0.042,14778.79,0
USR_00001,2025-12,2025,12,Diciembre,En observación,Ahorro insuficiente,29,F,Médico,Vive solo,Mexicali,48369.77,2369.07,50738.84,7.56,Baja,0.5407,27434.49,48283.1,0.0,48283.1,31980.06,15305.84,16674.22,0.0,0.0,0.0,0.0,23,22,1453.64,4032.44,2986.16,1403.84,12637.19,0.0,5259.94,3170.67,2019.92,469.9,vivienda,12637.19,0.3952,16303.04,16303.04,0.6623,0.0,0.0,0.0,0.0,0.3453,0.4786,0.0,-0.0484,0.0,0.0,0.0588,17057.36,0
USR_00002,2025-01,2025,1,Enero,Saludable,Endeudamiento,19,F,Estudiante,Vive con familia,Oaxaca,4530.47,228.95,4759.42,9.97,Baja,0.4357,2073.68,4419.53,239.15,4658.68,3405.55,1056.5,2349.05,310.0,584.02,0.0,0.0,21,17,200.33,1615.09,355.03,65.03,194.95,464.66,309.79,296.06,0.0,104.94,alimentacion,1615.09,0.4743,359.11,359.11,0.731,0.1254,0.0665,0.0,0.0,0.5042,0.3102,1.0,-0.0212,1763.68,0.3786,0.0,359.11,0
USR_00002,2025-02,2025,2,Febrero,En observación,Ahorro insuficiente,19,F,Estudiante,Vive con familia,Oaxaca,4530.47,228.95,4759.42,9.97,Baja,0.4357,2073.68,4312.35,125.12,4437.47,3385.79,1290.57,2095.22,339.01,0.0,0.0,0.0,20,17,199.16,460.33,894.38,52.46,338.82,987.69,47.8,306.58,0.0,297.73,educacion,987.69,0.2917,712.67,712.67,0.763,0.0,0.0764,0.0,0.0,0.4722,0.3812,0.0,-0.0676,1424.67,0.3211,0.0344,535.89,0
